Date,Cash,Holdings,Equity,OpenPositions
2021-06-23,100000.0,0.0,100000.0,0
2021-06-24,100000.0,0.0,100000.0,0
2021-06-25,100000.0,0.0,100000.0,0
2021-06-28,100000.0,0.0,100000.0,0
2021-06-29,100000.0,0.0,100000.0,0
2021-06-30,100000.0,0.0,100000.0,0
2021-07-01,100000.0,0.0,100000.0,0
2021-07-02,100000.0,0.0,100000.0,0
2021-07-05,100000.0,0.0,100000.0,0
2021-07-06,100000.0,0.0,100000.0,0
2021-07-07,100000.0,0.0,100000.0,0
2021-07-08,100000.0,0.0,100000.0,0
2021-07-09,100000.0,0.0,100000.0,0
2021-07-12,100000.0,0.0,100000.0,0
2021-07-13,100000.0,0.0,100000.0,0
2021-07-14,100000.0,0.0,100000.0,0
2021-07-15,100000.0,0.0,100000.0,0
2021-07-16,100000.0,0.0,100000.0,0
2021-07-19,100000.0,0.0,100000.0,0
2021-07-20,100000.0,0.0,100000.0,0
2021-07-22,100000.0,0.0,100000.0,0
2021-07-23,4042.76,97552.83,101595.6,10
2021-07-26,4042.76,98162.91,102205.67,10
2021-07-27,4042.76,97817.82,101860.59,10
2021-07-28,3544.9,97712.38,101257.29,10
2021-07-29,2712.35,101052.08,103764.43,10
2021-07-30,2712.35,102891.71,105604.07,10
2021-08-02,2712.35,102780.46,105492.82,10
2021-08-03,2712.35,101658.46,104370.81,10
2021-08-04,2712.35,101131.56,103843.91,10
2021-08-05,2088.82,100319.24,102408.06,10
2021-08-06,2088.82,102419.81,104508.63,10
2021-08-09,2088.82,102082.27,104171.08,10
2021-08-10,2126.12,100315.64,102441.76,10
2021-08-11,2126.12,100510.85,102636.98,10
2021-08-12,2126.12,102523.84,104649.96,10
2021-08-13,2126.12,103706.08,105832.21,10
2021-08-16,2126.12,103061.57,105187.69,10
2021-08-17,2126.12,103956.79,106082.92,10
2021-08-18,2623.13,102948.8,105571.93,10
2021-08-20,2623.13,99791.96,102415.09,10
2021-08-23,2963.13,98795.53,101758.67,10
2021-08-24,4630.06,97452.61,102082.67,10
2021-08-25,5704.43,96824.53,102528.96,10
2021-08-26,5457.45,97891.93,103349.38,10
2021-08-27,5457.45,98478.41,103935.85,10
2021-08-30,5457.45,99226.42,104683.87,10
2021-08-31,5457.45,101004.16,106461.61,10
2021-09-01,4823.62,101060.73,105884.35,10
2021-09-02,4823.62,101780.39,106604.01,10
2021-09-03,4823.62,102723.25,107546.87,10
2021-09-06,4823.62,103522.59,108346.21,10
2021-09-07,4823.62,103857.92,108681.54,10
2021-09-08,4823.62,105509.34,110332.97,10
2021-09-09,4823.62,105567.18,110390.8,10
2021-09-13,4823.62,106189.28,111012.9,10
2021-09-14,4823.62,107639.83,112463.46,10
2021-09-15,5602.36,108192.06,113794.42,10
2021-09-16,5602.36,107819.2,113421.56,10
2021-09-17,7141.5,105031.07,112172.57,10
2021-09-20,8805.63,101417.5,110223.13,10
2021-09-21,10314.84,101026.59,111341.43,10
2021-09-22,10939.34,100731.87,111671.21,10
2021-09-23,10939.34,101265.15,112204.48,10
2021-09-24,9597.95,104168.72,113766.67,10
2021-09-27,9597.95,104628.76,114226.71,10
2021-09-28,9597.95,103939.53,113537.48,10
2021-09-29,7725.03,106917.52,114642.55,10
2021-09-30,8714.62,106640.82,115355.44,10
2021-10-01,8714.62,107396.21,116110.82,10
2021-10-04,8714.62,108942.33,117656.95,10
2021-10-05,8714.62,110310.15,119024.76,10
2021-10-06,8714.62,110702.1,119416.72,10
2021-10-07,8714.62,112497.22,121211.84,10
2021-10-08,8714.62,113094.69,121809.31,10
2021-10-11,8714.62,116049.03,124763.64,10
2021-10-12,8714.62,115644.54,124359.16,10
2021-10-13,8714.62,116804.43,125519.05,10
2021-10-14,8638.27,117818.37,126456.64,10
2021-10-18,8638.27,120920.5,129558.76,10
2021-10-19,13593.67,112172.72,125766.39,10
2021-10-20,18157.14,100961.3,119118.44,10
2021-10-21,16223.24,101880.71,118103.95,10
2021-10-22,6761.11,111389.58,118150.69,10
2021-10-25,8444.55,106708.15,115152.7,10
2021-10-26,14501.23,102081.9,116583.14,10
2021-10-27,14501.23,100734.77,115236.0,10
2021-10-28,14026.03,96387.04,110413.07,10
2021-10-29,15491.8,94760.86,110252.67,10
2021-11-01,14632.34,96775.98,111408.32,10
2021-11-02,14632.34,99939.65,114571.99,10
2021-11-03,14632.34,99179.24,113811.58,10
2021-11-04,14632.34,100971.34,115603.68,10
2021-11-08,14632.34,103019.84,117652.18,10
2021-11-09,14632.34,105078.5,119710.84,10
2021-11-10,14632.34,103942.6,118574.94,10
2021-11-11,14632.34,102562.93,117195.27,10
2021-11-12,13314.9,104857.0,118171.9,10
2021-11-15,13314.9,103998.77,117313.67,10
2021-11-16,12924.24,104355.89,117280.13,10
2021-11-17,12924.24,104485.27,117409.51,10
2021-11-18,12924.24,101440.72,114364.96,10
2021-11-22,14079.7,98214.1,112293.8,10
2021-11-23,50124.72,62181.7,112306.42,6
2021-11-24,11096.88,100129.1,111225.98,10
2021-11-25,12222.2,100216.05,112438.25,10
2021-11-26,12222.2,97293.5,109515.7,10
2021-11-29,13860.76,94764.2,108624.96,10
2021-11-30,12504.97,95098.44,107603.41,10
2021-12-01,12504.97,94766.05,107271.02,10
2021-12-02,11487.5,96818.64,108306.15,10
2021-12-03,11487.5,97962.51,109450.01,10
2021-12-06,10506.43,98230.93,108737.36,10
2021-12-07,9611.26,99693.36,109304.61,10
2021-12-08,9611.26,101855.17,111466.43,10
2021-12-09,9611.26,103933.16,113544.41,10
2021-12-10,9611.26,103503.61,113114.86,10
2021-12-13,9611.26,103191.54,112802.8,10
2021-12-14,9611.26,103846.58,113457.84,10
2021-12-15,9611.26,102828.89,112440.15,10
2021-12-16,9611.26,101161.65,110772.91,10
2021-12-17,11778.69,96061.17,107839.85,10
2021-12-20,10671.73,92457.27,103129.01,10
2021-12-21,64388.11,39919.55,104307.66,4
2021-12-22,54487.22,51429.28,105916.5,5
2021-12-23,54487.22,51312.78,105800.0,5
2021-12-24,37155.28,68560.85,105716.13,7
2021-12-27,17383.03,88908.36,106291.39,9
2021-12-28,7825.48,99868.28,107693.76,10
2021-12-29,7825.48,99821.91,107647.39,10
2021-12-30,7825.48,100892.95,108718.43,10
2021-12-31,8493.51,100624.67,109118.18,10
2022-01-03,8493.51,101180.07,109673.59,10
2022-01-04,8493.51,100165.64,108659.16,10
2022-01-05,8493.51,99594.16,108087.68,10
2022-01-06,8493.51,99630.8,108124.31,10
2022-01-07,7803.61,101593.33,109396.94,10
2022-01-10,7462.58,103911.52,111374.1,10
2022-01-11,7462.58,102332.97,109795.55,10
2022-01-12,7680.02,102525.41,110205.42,10
2022-01-13,7680.02,102030.48,109710.5,10
2022-01-14,9927.39,99792.82,109720.21,10
2022-01-17,9370.24,101338.08,110708.32,10
2022-01-18,9370.24,99037.06,108407.3,10
2022-01-19,9923.16,99719.42,109642.58,10
2022-01-20,9923.16,99869.03,109792.19,10
2022-01-21,9923.16,98104.16,108027.31,10
2022-01-24,9096.58,95621.66,104718.24,10
2022-01-25,26131.23,80850.85,106982.07,8
2022-01-27,15906.12,92537.2,108443.32,9
2022-01-28,5973.44,102906.81,108880.25,10
2022-01-31,5930.75,103181.69,109112.44,10
2022-02-01,5930.75,103203.89,109134.63,10
2022-02-02,5930.75,104676.16,110606.91,10
2022-02-03,7215.87,103420.67,110636.53,10
2022-02-04,7215.87,104739.5,111955.37,10
2022-02-07,7215.87,104805.43,112021.29,10
2022-02-08,7513.65,102183.54,109697.19,10
2022-02-09,6027.48,104015.47,110042.95,10
2022-02-10,6027.48,103351.71,109379.18,10
2022-02-11,6027.48,101398.61,107426.09,10
2022-02-14,4282.55,97884.75,102167.3,10
2022-02-15,29145.0,72415.7,101560.7,7
2022-02-16,38060.48,64012.45,102072.93,6
2022-02-17,18209.0,83154.15,101363.15,8
2022-02-18,44766.47,55414.95,100181.42,6
2022-02-21,44766.47,52788.7,97555.17,6
2022-02-22,44683.75,52731.05,97414.8,6
2022-02-23,53520.0,44359.65,97879.66,5
2022-02-24,53520.0,41374.15,94894.16,5
2022-02-25,96335.15,0.0,96335.15,0
2022-02-28,79478.31,16690.0,96168.31,2
2022-03-02,51573.18,45606.7,97179.88,5
2022-03-03,2136.09,94581.49,96717.58,10
2022-03-04,2136.09,91623.95,93760.04,10
2022-03-07,20051.39,73638.96,93690.35,8
2022-03-08,15772.71,76464.78,92237.5,8
2022-03-09,5810.56,85361.04,91171.6,9
2022-03-10,13.27,90361.3,90374.57,10
2022-03-11,13.27,91114.37,91127.64,10
2022-03-14,13.27,90760.22,90773.48,10
2022-03-15,43.2,87863.97,87907.17,10
2022-03-16,59.81,89029.67,89089.47,10
2022-03-17,59.81,88811.49,88871.3,10
2022-03-21,59.81,87983.2,88043.01,10
2022-03-22,233.93,88115.9,88349.83,10
2022-03-23,77.5,89604.55,89682.05,10
2022-03-24,77.5,90116.88,90194.38,10
