Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
AUBANK.NS,2024-09-02,684.95,2024-11-11,581.0,14,-1473.02,-15.35,Stop,70
GNFC.NS,2023-11-01,693.7,2024-11-13,587.0,14,-1511.73,-15.55,Stop,378
ADANIENT.NS,2024-01-01,2852.3,2024-11-22,2101.0,3,-2268.76,-26.49,Stop,326
UNIONBANK.NS,2025-06-02,149.0,2025-09-01,125.5,67,-1592.89,-15.94,Stop,91
LICI.NS,2025-06-02,477.0,2025-10-01,450.175,20,-555.04,-5.81,Exit rule,121
JBCHEPHARM.NS,2025-08-01,1769.3,2025-11-03,1690.9,5,-409.3,-4.62,Exit rule,94
PRESTIGE.NS,2025-11-03,1737.0,2026-01-21,1424.6,5,-1577.81,-18.15,Stop,79
HAL.NS,2025-10-01,4732.0,2026-02-25,3970.0,2,-1541.4,-16.27,Stop,147
