Date,Cash,Holdings,Equity,OpenPositions
2021-06-23,100000.0,0.0,100000.0,0
2021-06-24,100000.0,0.0,100000.0,0
2021-06-25,100000.0,0.0,100000.0,0
2021-06-28,100000.0,0.0,100000.0,0
2021-06-29,100000.0,0.0,100000.0,0
2021-06-30,100000.0,0.0,100000.0,0
2021-07-01,100000.0,0.0,100000.0,0
2021-07-02,100000.0,0.0,100000.0,0
2021-07-05,100000.0,0.0,100000.0,0
2021-07-06,100000.0,0.0,100000.0,0
2021-07-07,100000.0,0.0,100000.0,0
2021-07-08,100000.0,0.0,100000.0,0
2021-07-09,100000.0,0.0,100000.0,0
2021-07-12,100000.0,0.0,100000.0,0
2021-07-13,100000.0,0.0,100000.0,0
2021-07-14,100000.0,0.0,100000.0,0
2021-07-15,100000.0,0.0,100000.0,0
2021-07-16,100000.0,0.0,100000.0,0
2021-07-19,100000.0,0.0,100000.0,0
2021-07-20,100000.0,0.0,100000.0,0
2021-07-22,100000.0,0.0,100000.0,0
2021-07-23,44251.16,56603.79,100854.95,6
2021-07-26,53005.41,48684.0,101689.41,5
2021-07-27,16176.62,85318.2,101494.82,9
2021-07-28,14694.91,87239.04,101933.95,9
2021-07-29,23405.6,79912.18,103317.77,8
2021-07-30,35575.02,68083.53,103658.55,7
2021-08-02,9656.35,94218.02,103874.37,10
2021-08-03,9656.35,95709.83,105366.18,10
2021-08-04,19482.69,85411.37,104894.07,9
2021-08-05,10549.5,93606.32,104155.82,10
2021-08-06,9639.52,94149.09,103788.61,10
2021-08-09,8875.09,94689.08,103564.17,10
2021-08-10,17990.91,83408.35,101399.26,9
2021-08-11,36268.26,64842.37,101110.63,7
2021-08-12,35258.66,67295.41,102554.07,7
2021-08-13,5400.16,96843.94,102244.1,10
2021-08-16,5085.56,97631.54,102717.11,10
2021-08-17,14117.15,88907.33,103024.48,9
2021-08-18,13981.98,88392.9,102374.88,9
2021-08-20,5141.14,94969.3,100110.44,10
2021-08-23,14762.44,83995.45,98757.9,9
2021-08-24,13690.33,85086.93,98777.26,9
2021-08-25,2731.57,95153.97,97885.54,10
2021-08-26,2434.15,95157.52,97591.67,10
2021-08-27,518.24,97553.84,98072.09,10
2021-08-30,1574.58,97441.73,99016.31,10
2021-08-31,1574.58,97842.53,99417.11,10
2021-09-01,2159.61,98672.9,100832.52,10
2021-09-02,3406.13,98396.55,101802.69,10
2021-09-03,3406.13,98769.25,102175.39,10
2021-09-06,5427.09,97242.7,102669.8,10
2021-09-07,7038.07,95108.51,102146.58,10
2021-09-08,6955.99,95502.38,102458.37,10
2021-09-09,6955.99,95894.21,102850.2,10
2021-09-13,6136.99,97692.85,103829.84,10
2021-09-14,55994.71,48175.98,104170.69,5
2021-09-15,57338.78,47541.75,104880.53,5
2021-09-16,56966.62,47618.07,104584.7,5
2021-09-17,47569.7,56815.37,104385.07,6
2021-09-20,57031.63,46453.38,103485.01,5
2021-09-21,73581.06,30111.91,103692.97,3
2021-09-22,75622.48,28054.53,103677.02,3
2021-09-23,28378.54,74843.5,103222.04,8
2021-09-24,8799.66,95365.05,104164.71,10
2021-09-27,8444.41,95127.12,103571.53,10
2021-09-28,16243.57,86391.73,102635.31,9
2021-09-29,5899.86,97820.25,103720.11,10
2021-09-30,6187.05,98244.45,104431.5,10
2021-10-01,6187.05,99258.0,105445.05,10
2021-10-04,8806.75,98766.57,107573.32,10
2021-10-05,8806.75,99030.32,107837.07,10
2021-10-06,9078.82,97691.85,106770.67,10
2021-10-07,8372.29,99846.78,108219.07,10
2021-10-08,10815.11,97581.55,108396.66,10
2021-10-11,10815.11,97323.78,108138.89,10
2021-10-12,10815.11,98149.4,108964.51,10
2021-10-13,10815.11,99178.43,109993.54,10
2021-10-14,10815.11,99358.87,110173.98,10
2021-10-18,16994.99,93230.26,110225.25,10
2021-10-19,17965.02,92645.98,110611.0,10
2021-10-20,54793.53,54516.47,109310.0,6
2021-10-21,53636.45,54658.45,108294.9,6
2021-10-22,63252.82,44732.2,107985.02,5
2021-10-25,63252.82,44777.3,108030.12,5
2021-10-26,53901.48,53835.45,107736.93,6
2021-10-27,25478.71,81779.43,107258.13,9
2021-10-28,15452.34,89521.15,104973.49,10
2021-10-29,33354.53,72324.9,105679.43,8
2021-11-01,21104.89,86356.55,107461.44,9
2021-11-02,22772.08,86835.25,109607.33,9
2021-11-03,15975.29,94965.95,110941.24,10
2021-11-04,15975.29,95369.68,111344.97,10
2021-11-08,15975.29,95207.98,111183.27,10
2021-11-09,21335.52,89894.1,111229.62,10
2021-11-10,22058.13,89391.5,111449.63,10
2021-11-11,23348.29,87765.19,111113.48,10
2021-11-12,33835.29,77020.92,110856.22,9
2021-11-15,32857.77,80426.38,113284.15,9
2021-11-16,42201.05,71035.38,113236.43,8
2021-11-17,58819.02,54212.53,113031.54,6
2021-11-18,41538.79,71030.06,112568.85,8
2021-11-22,41254.79,69223.11,110477.9,8
2021-11-23,68627.44,42367.72,110995.17,5
2021-11-24,58709.44,52365.0,111074.44,6
2021-11-25,59469.44,52167.6,111637.04,6
2021-11-26,20500.72,88081.39,108582.11,10
2021-11-29,77405.21,29223.02,106628.23,3
2021-11-30,58266.25,48798.63,107064.88,5
2021-12-01,11533.07,94204.78,105737.84,10
2021-12-02,11533.07,94453.28,105986.34,10
2021-12-03,11533.07,93578.9,105111.96,10
2021-12-06,11533.07,92324.48,103857.54,10
2021-12-07,28280.29,76094.35,104374.64,8
2021-12-08,8604.62,97350.95,105955.58,10
2021-12-09,8604.62,97876.02,106480.65,10
2021-12-10,9879.82,96372.7,106252.52,10
2021-12-13,11028.7,95047.41,106076.11,10
2021-12-14,10616.8,95366.66,105983.47,10
2021-12-15,10740.15,96045.31,106785.46,10
2021-12-16,10740.15,95988.9,106729.05,10
2021-12-17,12248.15,92699.47,104947.63,10
2021-12-20,47185.33,54628.4,101813.73,6
2021-12-21,74123.18,28638.7,102761.88,3
2021-12-22,54416.89,48847.16,103264.05,5
2021-12-23,44565.55,58762.52,103328.08,6
2021-12-24,25412.72,77569.52,102982.24,8
2021-12-27,42779.33,59788.46,102567.79,6
2021-12-28,51728.88,51242.22,102971.1,5
2021-12-29,41742.9,60615.0,102357.9,6
2021-12-30,21508.2,80859.0,102367.19,8
2021-12-31,2311.12,100566.76,102877.87,10
2022-01-03,2311.74,100828.88,103140.62,10
2022-01-04,3174.49,100593.31,103767.8,10
2022-01-05,3174.49,99644.07,102818.56,10
2022-01-06,2612.57,101354.95,103967.52,10
2022-01-07,5228.24,97918.65,103146.89,10
2022-01-10,15852.96,87328.45,103181.41,9
2022-01-11,17228.73,83214.42,100443.16,9
2022-01-12,26856.67,75338.19,102194.86,8
2022-01-13,36401.38,65190.79,101592.17,7
2022-01-14,36401.38,65847.9,102249.28,7
2022-01-17,36401.38,66698.1,103099.48,7
2022-01-18,48029.74,54716.63,102746.38,6
2022-01-19,76291.7,26817.05,103108.75,3
2022-01-20,66521.94,36741.88,103263.82,4
2022-01-21,48122.81,54295.93,102418.74,6
2022-01-24,57617.31,42970.54,100587.85,5
2022-01-25,91440.14,8867.2,100307.34,1
2022-01-27,92823.94,7467.3,100291.24,1
2022-01-28,73048.19,27547.3,100595.49,3
2022-01-31,53267.28,47453.55,100720.83,5
2022-02-01,45957.98,55254.08,101212.05,6
2022-02-02,8349.98,94373.84,102723.82,10
2022-02-03,8349.98,93950.09,102300.07,10
2022-02-04,7135.72,94898.42,102034.14,10
2022-02-07,7135.72,94121.35,101257.07,10
2022-02-08,8291.5,92989.85,101281.34,10
2022-02-09,8291.5,93153.68,101445.17,10
2022-02-10,8291.5,93793.2,102084.7,10
2022-02-11,10807.76,89644.85,100452.61,10
2022-02-14,9464.12,86772.76,96236.88,10
2022-02-15,71103.77,25440.13,96543.91,3
2022-02-16,61175.19,35247.17,96422.35,4
2022-02-17,60008.26,35977.2,95985.46,4
2022-02-18,76336.11,19255.47,95591.58,2
2022-02-21,85385.72,10028.8,95414.52,1
2022-02-22,75454.2,19807.47,95261.67,2
2022-02-23,78285.75,17272.63,95558.38,2
2022-02-24,9429.3,84228.66,93657.96,9
2022-02-25,77526.87,17635.4,95162.27,2
2022-02-28,260.15,95795.4,96055.55,10
2022-03-02,50.35,97278.02,97328.38,10
2022-03-03,39.67,96661.65,96701.32,10
2022-03-04,547.05,93797.55,94344.6,10
2022-03-07,32.98,92698.79,92731.77,10
2022-03-08,47297.92,46096.66,93394.58,5
2022-03-09,37791.02,55545.03,93336.04,6
2022-03-10,10849.45,82159.24,93008.69,9
2022-03-11,1219.83,92790.34,94010.18,10
2022-03-14,1219.83,93890.79,95110.63,10
2022-03-15,11335.73,82192.37,93528.1,9
2022-03-16,11335.73,83545.55,94881.28,9
2022-03-17,1360.76,94134.85,95495.61,10
2022-03-21,28820.22,66594.7,95414.92,7
2022-03-22,38336.69,57472.85,95809.54,6
2022-03-23,38336.69,58105.35,96442.04,6
2022-03-24,46334.69,50857.35,97192.04,5
