Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
POWERGRID.NS,2022-05-02,169.425,2022-06-01,174.1125,58,251.95,2.56,Rotation,30
JINDALSTEL.NS,2022-05-02,532.05,2022-06-01,384.95,18,-2664.31,-27.79,Rotation,30
VEDL.NS,2022-05-02,408.0,2022-06-01,320.5,24,-2117.48,-21.6,Rotation,30
ADANIENSOL.NS,2022-05-02,2774.0,2022-06-01,2002.0,3,-2330.33,-27.97,Rotation,30
CHOLAFIN.NS,2022-05-02,734.9,2022-07-01,616.2,13,-1560.66,-16.32,Rotation,60
CGPOWER.NS,2022-05-02,196.4,2022-07-01,192.0,50,-239.42,-2.44,Rotation,60
BEL.NS,2022-06-01,78.45,2022-07-01,77.6667,127,-119.31,-1.2,Rotation,30
NTPC.NS,2022-06-01,156.45,2022-07-01,142.0,43,-634.18,-9.42,Rotation,30
ADANIGREEN.NS,2022-05-02,2860.0,2022-08-01,2190.0,3,-2025.15,-23.58,Rotation,91
COALINDIA.NS,2022-06-01,194.5,2022-10-03,213.0,51,922.72,9.29,Rotation,124
ITC.NS,2022-07-01,263.3573,2022-10-03,320.5545,37,2094.69,21.48,Rotation,94
ADANIPOWER.NS,2022-05-02,56.0,2022-11-01,67.42,178,2010.79,20.15,Rotation,183
ADANIENSOL.NS,2022-07-01,2500.0,2022-11-01,3358.1001,1,852.24,34.06,Rotation,123
M&M.NS,2022-07-01,1092.4,2022-12-01,1315.0,9,1981.73,20.14,Rotation,153
TVSMOTOR.NS,2022-07-01,837.5,2022-12-01,1058.85,11,2413.99,26.18,Rotation,153
BEL.NS,2022-08-01,92.0667,2022-12-01,105.65,95,1271.63,14.52,Rotation,122
EICHERMOT.NS,2022-10-03,3781.0,2022-12-01,3489.6001,2,-597.34,-7.89,Rotation,59
COALINDIA.NS,2022-11-01,247.0,2022-12-01,228.4,40,-763.02,-7.72,Rotation,30
ITC.NS,2022-11-01,336.2982,2022-12-01,329.0281,29,-230.13,-2.36,Rotation,30
HAL.NS,2022-06-01,924.0,2023-01-02,1270.0,10,3438.06,37.17,Rotation,215
CGPOWER.NS,2022-12-01,280.0,2023-01-02,267.0,35,-474.14,-4.83,Rotation,32
ADANIENT.NS,2022-05-02,2325.0,2023-02-01,2995.0,4,2658.72,28.56,Rotation,275
AMBUJACEM.NS,2022-10-03,516.1,2023-02-01,409.2,19,-2048.68,-20.87,Rotation,121
INDUSINDBK.NS,2023-01-02,1220.1,2023-02-01,1094.0,8,-1027.31,-10.51,Rotation,30
AXISBANK.NS,2023-01-02,932.25,2023-02-01,876.3,10,-577.59,-6.19,Rotation,30
NHPC.NS,2023-02-01,44.3,2023-03-01,39.45,225,-1110.09,-11.13,Rotation,28
VEDL.NS,2023-02-01,337.0,2023-03-01,267.05,29,-2046.07,-20.92,Rotation,28
ITC.NS,2023-03-01,360.371,2023-04-03,369.7595,27,233.77,2.4,Rotation,33
PNB.NS,2022-12-01,51.75,2023-05-02,52.55,193,134.27,1.34,Rotation,152
CANBK.NS,2022-12-01,63.4,2023-05-02,63.74,157,33.42,0.34,Rotation,152
CGPOWER.NS,2023-02-01,303.85,2023-05-02,308.0,32,113.22,1.16,Rotation,90
