Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
ITC.NS,2021-07-26,206.0639,2021-08-02,198.7939,48,-368.39,-3.72,Exit rule,7
JSWSTEEL.NS,2021-07-30,746.15,2021-08-11,727.0,13,-268.1,-2.76,Exit rule,12
SBIN.NS,2021-07-30,441.5,2021-08-11,429.8,22,-276.57,-2.84,Exit rule,12
SBICARD.NS,2021-07-27,1021.0,2021-08-18,1007.0,9,-144.25,-1.57,Exit rule,22
HINDALCO.NS,2021-07-28,419.0,2021-08-20,416.0,23,-88.2,-0.91,Exit rule,23
VEDL.NS,2021-07-30,291.5,2021-08-20,289.0,34,-104.74,-1.06,Exit rule,21
SUNPHARMA.NS,2021-08-02,785.0,2021-08-24,759.8,12,-320.94,-3.4,Exit rule,22
POWERGRID.NS,2021-08-13,138.15,2021-08-24,132.975,72,-392.12,-3.94,Exit rule,11
BHARTIARTL.NS,2021-07-23,537.6064,2021-08-27,577.949,18,706.09,7.29,Exit rule,35
SIEMENS.NS,2021-08-12,1274.3171,2021-09-08,1299.0299,7,154.98,1.74,Exit rule,27
APOLLOHOSP.NS,2021-07-27,4120.8999,2021-09-13,4735.0,2,1210.49,14.67,Exit rule,48
VBL.NS,2021-08-24,111.6,2021-09-20,117.6133,89,514.79,5.18,Exit rule,27
TECHM.NS,2021-07-23,1123.95,2021-09-21,1439.0,8,2499.9,27.77,Exit rule,60
GODREJCP.NS,2021-08-23,1045.0,2021-09-21,1076.55,9,264.86,2.81,Exit rule,29
BRITANNIA.NS,2021-08-23,3910.0,2021-09-24,4040.0,2,244.1,3.12,Exit rule,32
ICICIGI.NS,2021-08-30,1569.0,2021-09-24,1583.0,6,65.09,0.69,Exit rule,25
HDFCAMC.NS,2021-09-09,1647.725,2021-09-28,1583.975,6,-401.89,-4.06,Exit rule,19
INDIGO.NS,2021-09-20,2196.05,2021-09-29,2023.05,4,-708.88,-8.06,Exit rule,9
NAUKRI.NS,2021-08-25,1164.8,2021-09-30,1292.0,8,997.95,10.7,Exit rule,36
BAJAJFINSV.NS,2021-07-30,1460.5,2021-10-04,1735.995,6,1633.79,18.63,Exit rule,66
BAJAJHLDNG.NS,2021-09-21,4546.8501,2021-10-14,4755.4502,2,398.6,4.38,Exit rule,23
UNITDSPR.NS,2021-08-20,718.0,2021-10-21,847.0,13,1656.66,17.73,Exit rule,62
PFC.NS,2021-09-13,108.0,2021-10-21,113.0,92,439.67,4.42,Exit rule,38
COALINDIA.NS,2021-09-29,174.5,2021-10-21,182.0,57,407.18,4.09,Exit rule,22
MARUTI.NS,2021-09-28,7448.0,2021-10-25,7355.0,1,-107.8,-1.45,Exit rule,27
TRENT.NS,2021-10-04,1053.5,2021-10-25,1061.0,9,48.47,0.51,Exit rule,21
NTPC.NS,2021-09-29,131.4,2021-10-27,144.0,76,936.67,9.37,Exit rule,28
ONGC.NS,2021-09-22,134.5,2021-10-29,149.9,74,1118.55,11.23,Exit rule,37
WIPRO.NS,2021-10-18,359.5,2021-10-29,329.125,27,-838.72,-8.63,Exit rule,11
M&M.NS,2021-09-28,820.0,2021-11-01,884.25,12,750.55,7.62,Exit rule,34
KOTAKBANK.NS,2021-10-22,430.98,2021-11-01,411.0,23,-478.91,-4.83,Exit rule,10
IRFC.NS,2021-10-25,26.2,2021-11-12,24.55,381,-647.99,-6.48,Exit rule,18
ICICIBANK.NS,2021-10-26,828.7,2021-11-12,772.7,12,-691.22,-6.94,Exit rule,17
BANKBARODA.NS,2021-10-22,96.2,2021-11-17,96.0,103,-40.4,-0.41,Exit rule,26
UNITDSPR.NS,2021-11-01,964.95,2021-11-22,948.0,10,-188.63,-1.95,Exit rule,21
TATAPOWER.NS,2021-09-30,152.5,2021-11-23,223.95,65,4619.78,46.56,Exit rule,54
CANBK.NS,2021-11-01,43.0,2021-11-23,42.0,232,-251.72,-2.52,Exit rule,22
INDIGO.NS,2021-11-01,2168.0,2021-11-23,2163.0,4,-37.32,-0.43,Exit rule,22
LT.NS,2021-11-04,1900.0,2021-11-23,1850.0,5,-268.75,-2.83,Exit rule,19
TVSMOTOR.NS,2021-10-25,619.0,2021-11-25,702.0,16,1306.86,13.18,Exit rule,31
VBL.NS,2021-11-09,134.6667,2021-11-25,121.0733,74,-1024.83,-10.27,Exit rule,16
ADANIENSOL.NS,2021-11-15,1999.0,2021-12-01,1709.55,4,-1172.63,-14.65,Exit rule,16
ETERNAL.NS,2021-11-15,149.0,2021-12-06,146.6,67,-180.6,-1.81,Exit rule,21
CIPLA.NS,2021-11-29,974.0,2021-12-06,915.1,10,-607.89,-6.23,Exit rule,7
VEDL.NS,2021-11-24,344.9,2021-12-07,340.0,28,-156.38,-1.62,Exit rule,13
LODHA.NS,2021-11-17,704.95,2021-12-14,689.5,14,-235.82,-2.39,Exit rule,27
ADANIGREEN.NS,2021-11-24,1420.0,2021-12-21,1385.0,7,-264.63,-2.66,Exit rule,27
TORNTPHARM.NS,2021-11-26,1481.75,2021-12-27,1523.125,6,230.22,2.59,Exit rule,31
SIEMENS.NS,2021-12-13,1446.9537,2021-12-31,1384.9373,6,-389.09,-4.48,Exit rule,18
INFY.NS,2021-12-20,1801.7,2022-01-07,1815.45,5,50.66,0.56,Exit rule,18
WIPRO.NS,2021-12-20,333.775,2022-01-12,350.0,29,450.7,4.65,Exit rule,23
CGPOWER.NS,2021-12-13,168.0,2022-01-13,189.0,59,1217.94,12.28,Exit rule,31
BAJAJFINSV.NS,2022-01-06,1770.1,2022-01-21,1700.0,5,-367.85,-4.15,Exit rule,15
TITAN.NS,2022-01-03,2510.0,2022-01-24,2520.0,3,14.91,0.2,Exit rule,21
BAJFINANCE.NS,2022-01-06,752.5,2022-01-24,735.0,13,-246.84,-2.52,Exit rule,18
COALINDIA.NS,2022-01-04,156.0,2022-01-25,155.0,64,-83.9,-0.84,Exit rule,21
M&M.NS,2022-01-13,880.55,2022-01-25,846.1,11,-397.94,-4.1,Exit rule,12
PIDILITIND.NS,2022-01-05,1300.85,2022-01-27,1275.0,7,-198.98,-2.18,Exit rule,22
NTPC.NS,2022-01-05,132.6,2022-02-07,134.2,75,99.99,1.0,Exit rule,33
ONGC.NS,2022-01-10,158.25,2022-02-10,165.85,63,458.38,4.59,Exit rule,31
MOTHERSON.NS,2022-01-10,65.8452,2022-02-14,73.9333,151,1200.19,12.06,Exit rule,35
ADANIGREEN.NS,2022-01-12,1599.0,2022-02-15,1852.5,6,1500.29,15.62,Exit rule,34
MARUTI.NS,2022-01-27,8656.0,2022-02-15,8410.0,1,-263.07,-3.04,Exit rule,19
CANBK.NS,2022-01-28,48.45,2022-02-15,47.04,206,-310.13,-3.1,Exit rule,18
COALINDIA.NS,2022-02-10,169.0,2022-02-15,162.75,59,-388.32,-3.89,Exit rule,5
BANKBARODA.NS,2022-01-28,104.45,2022-02-18,105.3,95,60.82,0.61,Exit rule,21
SUNPHARMA.NS,2022-02-02,890.0,2022-02-22,836.0,11,-612.99,-6.26,Exit rule,20
AXISBANK.NS,2022-01-28,778.1,2022-02-23,783.5,12,46.06,0.49,Exit rule,26
CHOLAFIN.NS,2022-01-21,645.0,2022-02-25,659.0,15,190.44,1.97,Exit rule,35
ADANIPOWER.NS,2022-02-11,24.54,2022-02-25,24.0,407,-239.54,-2.4,Exit rule,14
ADANIGREEN.NS,2022-02-18,2060.0,2022-02-25,1875.0,4,-755.74,-9.16,Exit rule,7
VBL.NS,2022-03-03,131.0667,2022-03-07,121.5333,76,-743.73,-7.46,Exit rule,4
HINDALCO.NS,2022-03-02,575.25,2022-03-16,568.7,17,-130.8,-1.34,Exit rule,14
BEL.NS,2022-03-03,72.6667,2022-03-16,69.6333,137,-435.06,-4.37,Exit rule,13
VEDL.NS,2022-03-04,393.4,2022-03-16,362.0,25,-803.88,-8.17,Exit rule,12
ONGC.NS,2022-03-08,190.0,2022-03-16,166.0,52,-1266.51,-12.81,Exit rule,8
GAIL.NS,2022-03-03,103.1667,2022-03-22,96.6667,96,-643.18,-6.49,Exit rule,19
APOLLOHOSP.NS,2022-03-02,4827.0,2022-03-23,4697.5,2,-278.05,-2.88,Exit rule,21
TITAN.NS,2022-03-21,2740.0,2022-03-28,2536.5,3,-626.33,-7.61,Exit rule,7
COALINDIA.NS,2022-03-03,189.6,2022-03-31,184.15,52,-302.84,-3.07,Exit rule,28
CIPLA.NS,2022-03-14,1045.0,2022-04-04,1018.0,9,-261.57,-2.78,Exit rule,21
