Symbol,EntryDate,EntryPrice,ExitDate,ExitPrice,Qty,PnL,ReturnPct,ExitReason,HoldingDays
RHFL.NS,2021-07-01,6.25,2021-07-08,5.05,1598,-1935.66,-19.36,Exit rule,7
APLAPOLLO.NS,2021-07-28,891.0,2021-08-24,753.0,11,-1536.08,-15.66,Exit rule,27
LAURUSLABS.NS,2021-08-09,685.95,2021-08-24,637.4,14,-698.23,-7.26,Exit rule,15
DALBHARAT.NS,2021-08-31,2193.0,2021-09-21,2223.0,4,102.34,1.17,Exit rule,21
NATIONALUM.NS,2021-08-31,87.85,2021-09-21,86.1,113,-217.41,-2.19,Exit rule,21
NAVINFLUOR.NS,2021-09-01,4053.8999,2021-09-21,3730.0,2,-663.37,-8.17,Exit rule,20
BAJAJELEC.NS,2021-08-26,1110.3793,2021-10-01,1229.5098,8,934.32,10.51,Exit rule,36
LAURUSLABS.NS,2021-10-08,654.7,2021-10-21,603.0,15,-794.37,-8.08,Exit rule,13
AXISBANK.NS,2021-08-11,765.0,2021-10-29,762.0,13,-58.85,-0.59,Exit rule,79
MAHSCOOTER.NS,2021-08-13,4400.0,2021-11-01,4446.0,2,74.31,0.84,Exit rule,80
CANFINHOME.NS,2021-08-31,566.45,2021-11-01,625.0,17,975.1,10.12,Exit rule,62
DIVISLAB.NS,2021-10-05,5250.5,2021-11-09,4968.0,1,-292.72,-5.57,Exit rule,35
TRITURBINE.NS,2021-08-18,134.0,2021-11-23,169.9,74,2634.11,26.54,Exit rule,97
CESC.NS,2021-10-06,93.5,2021-11-23,83.35,106,-1094.65,-11.03,Exit rule,48
AMBUJACEM.NS,2021-11-02,410.0,2021-11-23,387.0,24,-571.13,-5.8,Exit rule,21
HINDPETRO.NS,2021-11-09,231.4667,2021-11-23,209.3333,43,-970.69,-9.74,Exit rule,14
UNITDSPR.NS,2021-11-01,964.95,2021-11-29,882.0,10,-847.97,-8.78,Exit rule,28
JKLAKSHMI.NS,2021-11-09,658.0,2021-12-16,590.05,10,-691.98,-10.51,Exit rule,37
VBL.NS,2021-11-02,122.9333,2021-12-21,110.6667,81,-1012.52,-10.16,Exit rule,49
SONACOMS.NS,2021-11-26,745.0,2021-12-21,714.0,13,-421.97,-4.35,Exit rule,25
SPTL.NS,2021-12-15,13.65,2022-01-13,11.05,731,-1918.66,-19.21,Exit rule,29
HCLTECH.NS,2021-12-03,1188.0,2022-01-19,1220.0,8,236.74,2.49,Exit rule,47
MOTILALOFS.NS,2021-09-24,878.9,2022-01-31,864.0,11,-183.07,-1.89,Exit rule,129
GRINDWELL.NS,2021-12-20,1889.0,2022-02-09,1793.0,3,-299.05,-5.27,Exit rule,51
TRIDENT.NS,2021-12-10,56.0,2022-02-10,59.8,178,655.79,6.57,Exit rule,62
BASF.NS,2021-12-30,3029.0,2022-02-11,2800.0,3,-704.49,-7.74,Exit rule,43
HAL.NS,2022-01-13,657.475,2022-02-22,632.5,12,-315.18,-3.99,Exit rule,40
MAHSEAMLES.NS,2021-08-17,172.0,2022-02-23,249.575,58,4474.9,44.81,Exit rule,190
BAJAJELEC.NS,2021-12-14,1082.808,2022-02-24,1008.7513,9,-685.33,-7.03,Exit rule,72
ESCORTS.NS,2021-08-04,1217.9,2022-02-25,1811.0,8,4720.57,48.4,Exit rule,205
BSE.NS,2022-01-21,237.5389,2022-02-25,210.7889,41,-1115.13,-11.44,Exit rule,35
OIL.NS,2021-12-31,133.0667,2022-03-21,148.6667,71,1087.6,11.5,Exit rule,80
JSWENERGY.NS,2022-02-11,328.0,2022-03-30,299.4,30,-876.82,-8.9,Exit rule,47
LTTS.NS,2022-03-11,4925.0,2022-04-12,4775.0,2,-319.4,-3.24,Exit rule,32
TECHM.NS,2022-03-10,1525.0,2022-04-13,1418.1,6,-659.06,-7.2,Exit rule,34
HATSUN.NS,2022-02-02,1148.5509,2022-04-18,1017.1547,8,-1068.5,-11.62,Exit rule,75
BSOFT.NS,2022-03-10,470.0,2022-04-19,435.0,21,-754.0,-7.63,Exit rule,40
GRINDWELL.NS,2022-03-11,1774.05,2022-04-20,1715.05,5,-312.45,-3.52,Exit rule,40
FORTIS.NS,2022-03-04,262.0,2022-05-09,246.6,38,-604.53,-6.07,Exit rule,66
ECLERX.NS,2022-03-10,838.0,2022-05-10,724.0,11,-1271.18,-13.78,Exit rule,61
PRESTIGE.NS,2022-03-21,490.0,2022-05-11,434.0,20,-1138.48,-11.61,Exit rule,51
VRLLOG.NS,2022-04-12,258.35,2022-05-11,258.975,38,4.09,0.04,Exit rule,29
CHAMBLFERT.NS,2022-03-11,414.9,2022-05-12,408.5,24,-173.36,-1.74,Exit rule,62
360ONE.NS,2022-04-04,421.5,2022-05-12,385.3875,23,-849.15,-8.75,Exit rule,38
ADANIPOWER.NS,2022-05-23,64.33,2022-06-14,52.32,155,-1879.63,-18.83,Exit rule,22
RCF.NS,2022-05-23,101.95,2022-06-15,83.9,97,-1768.88,-17.87,Exit rule,23
IRB.NS,2022-05-23,11.745,2022-06-17,9.8,850,-1671.56,-16.73,Exit rule,25
SUZLON.NS,2022-06-02,8.5853,2022-06-17,7.0243,1163,-1833.56,-18.35,Exit rule,15
VINATIORGA.NS,2022-05-18,2097.8999,2022-06-20,1861.2,4,-962.64,-11.46,Exit rule,33
JKPAPER.NS,2022-05-19,351.55,2022-06-21,275.6,28,-2144.16,-21.76,Exit rule,33
UFLEX.NS,2022-06-02,611.1,2022-06-21,528.75,5,-417.45,-13.65,Exit rule,19
GESHIP.NS,2022-05-19,434.0,2022-06-28,369.95,23,-1491.64,-14.93,Exit rule,40
ONGC.NS,2022-06-30,153.0,2022-07-04,129.95,65,-1516.64,-15.24,Exit rule,4
VRLLOG.NS,2022-05-24,317.1,2022-08-02,301.65,31,-498.13,-5.06,Exit rule,70
LINDEINDIA.NS,2022-06-29,3214.0,2022-08-17,3379.8,3,477.62,4.95,Exit rule,49
SCHAEFFLER.NS,2022-05-31,2318.6001,2022-09-21,3330.0,4,4023.01,43.33,Exit rule,113
HDFCBANK.NS,2022-09-14,747.025,2022-09-26,712.675,13,-465.53,-4.79,Exit rule,12
GRINDWELL.NS,2022-06-30,1692.75,2022-09-27,2084.95,5,1942.11,22.92,Exit rule,89
THERMAX.NS,2022-07-22,2187.0,2022-09-27,2215.0,4,94.39,1.08,Exit rule,67
VBL.NS,2022-09-07,218.75,2022-09-29,210.0,45,-413.04,-4.19,Exit rule,22
CGPOWER.NS,2022-09-20,242.5,2022-10-04,232.0,41,-449.95,-4.52,Exit rule,14
PCJEWELLER.NS,2022-08-05,5.38,2022-11-15,8.985,1856,6664.22,66.67,Exit rule,102
COALINDIA.NS,2022-10-07,233.0,2022-11-16,233.35,42,-4.89,-0.05,Exit rule,40
JSWENERGY.NS,2022-10-10,340.6,2022-11-21,304.2,1,-37.04,-10.87,Exit rule,42
BAJAJELEC.NS,2022-10-03,1127.6936,2022-11-24,1006.8693,8,-983.67,-10.89,Exit rule,52
SOLARINDS.NS,2022-10-04,4034.95,2022-11-28,3750.0,2,-585.47,-7.25,Exit rule,55
COLPAL.NS,2022-12-12,1660.0,2022-12-16,1558.95,6,-625.61,-6.27,Exit rule,4
IDFCFIRSTB.NS,2022-10-06,53.85,2022-12-23,56.1,185,395.91,3.97,Exit rule,78
BHEL.NS,2022-10-06,62.5,2022-12-23,78.15,159,2465.99,24.79,Exit rule,78
RAYMOND.NS,2022-10-10,1152.9,2022-12-26,1350.0,6,1167.58,16.86,Exit rule,77
JSWSTEEL.NS,2022-10-07,671.4,2023-01-25,723.0,14,702.88,7.47,Exit rule,110
RBLBANK.NS,2022-12-30,178.2,2023-01-25,160.0,56,-1038.14,-10.39,Exit rule,26
ADANIPOWER.NS,2022-12-29,61.0,2023-01-27,50.0,163,-1811.09,-18.2,Exit rule,29
PFC.NS,2023-01-03,120.72,2023-01-27,114.92,82,-494.92,-4.99,Exit rule,24
CANBK.NS,2023-01-03,67.4,2023-01-30,58.2,49,-456.95,-13.82,Exit rule,27
HINDZINC.NS,2022-12-09,319.7,2023-01-31,330.0,31,299.16,3.02,Exit rule,53
JINDALSTEL.NS,2022-12-29,572.0,2023-02-07,556.85,17,-276.74,-2.84,Exit rule,40
POONAWALLA.NS,2022-12-28,292.2,2023-03-01,290.2,34,-87.8,-0.88,Exit rule,63
TITAN.NS,2023-02-06,2474.8501,2023-03-01,2370.0,4,-438.78,-4.43,Exit rule,23
YESBANK.NS,2023-03-02,18.4,2023-03-14,15.7,542,-1481.88,-14.84,Exit rule,12
UNOMINDA.NS,2023-02-13,535.0,2023-03-15,483.6,3,-157.26,-9.79,Exit rule,30
SBIN.NS,2023-03-06,564.9,2023-03-16,518.4,17,-808.92,-8.41,Exit rule,10
PIIND.NS,2023-02-09,3154.05,2023-03-17,3000.0,3,-480.61,-5.07,Exit rule,36
JINDALSAW.NS,2023-01-03,55.225,2023-03-21,74.0,180,3356.24,33.73,Exit rule,77
ELGIEQUIP.NS,2023-02-07,414.4,2023-03-29,425.0,24,234.25,2.35,Exit rule,50
AIAENG.NS,2023-01-31,2680.0,2023-04-26,2689.0,3,10.89,0.14,Exit rule,85
JKTYRE.NS,2023-03-24,167.0,2023-05-19,182.2,59,876.2,8.88,Exit rule,56
LINDEINDIA.NS,2023-04-10,4165.0,2023-05-24,3999.0,2,-348.33,-4.18,Exit rule,44
VBL.NS,2023-02-08,261.6,2023-06-26,307.54,38,1724.09,17.33,Exit rule,138
BAJAJHLDNG.NS,2023-05-25,6900.0,2023-08-21,6943.2002,1,29.36,0.43,Exit rule,88
COFORGE.NS,2023-04-06,813.0,2023-08-24,950.0,12,1622.84,16.62,Exit rule,140
SHOPERSTOP.NS,2023-04-28,650.0,2023-08-28,713.0,12,739.64,9.47,Exit rule,122
ICRA.NS,2022-09-26,4070.1499,2023-09-08,5650.0,2,3140.26,38.54,Exit rule,347
RAYMOND.NS,2023-04-11,1294.95,2023-09-20,1914.95,5,3083.95,47.58,Exit rule,162
M&MFIN.NS,2023-08-25,301.2,2023-10-23,278.0,33,-784.71,-7.89,Exit rule,59
INDHOTEL.NS,2023-02-02,322.0,2023-10-25,397.1,31,2305.81,23.08,Exit rule,265
